id;news_content;date_detected;email_address;is_deleted
1;Buckinghamshire;2020-10-12;admin@localhost.com;false
2;copy Directives;2020-10-11;admin@localhost.com;false
3;compress;2020-10-11;admin@localhost.com;true
4;e-business microchip fuchsia;2020-10-11;admin@localhost.com;true
5;Tunisia invoice;2020-10-11;admin@localhost.com;false
6;transparent;2020-10-11;admin@localhost.com;true
7;port indexing Bermuda;2020-10-12;admin@localhost.com;false
8;Assimilated SMTP;2020-10-11;admin@localhost.com;false
9;Cambridgeshire optical Virginia;2020-10-11;admin@localhost.com;true
10;Personal Loan Account white deposit;2020-10-12;admin@localhost.com;true
